NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
6,16,19,10,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,407,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
0,16,29,19,1,1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,407,0000000001000001,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,16,9,16
3,16,19,10,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,415,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
11,16,29,19,1,0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0,415,0000100000001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,16,9,16
15,16,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,423,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
0,32,37,28,0,2:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1,423,1000000001000001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
0,32,37,28,0,3:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1,431,1000000001000001,0000000000000000000000000000000000000000001000000001000000000000,0,400,800,256,16,9,16
11,32,55,46,0,3:0:0:1:0:0:1:0:0:0:0:2:0:0:0:1,431,1000100001001001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
0,48,37,28,0,4:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1,439,1000000001000001,0000000000000000000000000000000000000000010000000010000000000000,0,400,800,256,16,9,16
11,48,55,46,0,4:0:0:1:0:0:1:0:0:0:0:3:0:0:0:1,439,1000100001001001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
2,16,19,10,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,446,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
0,48,46,37,0,5:0:1:0:0:0:1:0:0:0:0:0:0:0:0:1,446,1000000001000101,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
14,16,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,454,0100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
6,32,28,19,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:1:0,454,0100000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
9,16,19,10,0,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,462,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
13,16,29,19,1,0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0,462,0010001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,16,9,16
15,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2,470,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
14,32,28,19,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:2,470,1100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
0,48,46,37,0,6:0:1:0:0:0:1:0:0:0:0:0:0:0:0:1,478,1000000001000101,0000000000000000000000000000000000000000100000000100000000000000,0,400,800,256,16,9,16
7,48,55,46,0,6:0:1:0:0:0:1:1:0:0:0:0:0:0:0:1,478,1000000011000101,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
15,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:3,485,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
4,32,29,19,1,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:3,485,1000000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,16,9,16
10,16,19,10,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,493,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
15,48,28,19,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:4,493,1000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
11,48,46,37,0,4:0:0:1:0:0:1:0:0:0:0:4:0:0:0:1,501,0000100001001001,0000000000000000000000000000000000000000000000000000000000001110,0,400,800,256,16,9,16
5,48,55,46,0,4:0:0:1:0:1:1:0:0:0:0:4:0:0:0:1,501,0000100001101001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
4,32,28,19,0,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:3,509,1000000000010000,0000000000000000000000000000000000000000000000000011000000000000,0,400,800,256,16,9,16
15,48,37,28,0,0:0:0:0:2:0:0:0:0:0:1:0:0:0:0:5,509,1000010000010000,0000000000000000000000000000000000000000000000000010000000000000,0,400,800,256,16,9,16
15,48,38,28,0,0:0:0:0:2:0:0:0:0:0:1:0:0:0:0:6,517,1000010000010000,0000000000000000000000000000000000000000000000000011000000001000,0,400,800,256,16,9,16
15,48,39,28,1,0:0:0:0:2:0:0:0:0:0:1:0:0:0:0:7,517,1000010000010000,0000000000000000000000000000000000000000000000000011000000001000,1,400,800,256,16,9,16
8,16,20,10,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,524,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
11,48,56,46,0,4:0:0:1:0:0:1:0:1:0:0:5:0:0:0:1,524,0000100101001001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
3,32,20,10,0,0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0,532,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
13,32,38,28,0,0:0:0:2:0:0:0:0:0:1:0:0:0:2:0:0,532,0010001000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
14,32,29,19,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:3:2,540,1100000000000000,0000000000000000000000000000000000000000000000001000110000000000,0,400,800,256,16,9,16
15,64,47,37,0,0:0:0:0:2:0:0:0:0:0:1:0:0:0:3:8,540,1100010000010000,0000000000000000010111100000000000000000000000000101111000000000,0,400,800,256,16,9,16
9,32,20,10,0,0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0,548,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
8,32,29,19,0,0:0:0:0:0:0:0:0:2:2:0:0:0:0:0:0,548,0000001100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
11,48,56,46,0,4:0:0:1:0:0:1:0:1:0:0:6:0:0:0:1,556,0000100101001001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
12,48,66,55,1,4:0:0:1:0:0:1:0:1:0:0:6:1:0:0:1,556,0001100101001001,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,16,9,16
9,32,20,10,0,0:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0,564,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
13,32,38,28,0,0:0:0:2:0:0:0:0:0:3:0:0:0:3:0:0,564,0010001000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,16,9,16
11,48,56,46,0,4:0:0:1:0:0:1:0:1:0:0:7:0:0:0:1,571,0000100101001001,0111100000111100000000000000000000000000000000000000000000001111,0,400,800,256,16,9,16
