NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
7,16,18,9,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,262,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
13,16,27,17,1,0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0,262,0010000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,1,16,8,16
8,16,18,9,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,324,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
7,32,26,17,0,0:0:0:0:0:0:0:2:1:0:0:0:0:0:0:0,324,0000000110000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
14,16,18,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,387,0100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
12,16,27,17,1,0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0,387,0101000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,1,16,8,16
11,16,18,9,0,0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,449,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
3,16,27,17,1,0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0,449,0000100000001000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,1,16,8,16
11,32,19,9,0,0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0,512,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
6,32,28,17,1,0:0:0:0:0:0:1:0:0:0:0:2:0:0:0:0,512,0000100001000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,1,16,8,16
5,16,19,9,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,574,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
14,32,27,17,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:2:0,574,0100000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,1,16,8,16
14,32,27,17,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:3:0,637,0100000000100000,0000000000000000000000000000000000000000000000000000000000111111,0,200,100,1,16,8,16
