NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
1,32,19,10,0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,462,00000000000000000000000000000010,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,1,16,9,32
13,32,29,19,1,0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,462,00000000000000000010000000000010,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,1,16,9,32
3,32,20,10,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,524,00000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,1,16,9,32
19,32,30,19,1,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,524,00000000000010000000000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,1,16,9,32
7,32,20,10,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,587,00000000000000000000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,1,16,9,32
9,32,30,19,1,0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,587,00000000000000000000001010000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,1,16,9,32
15,32,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,649,00000000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,1,16,9,32
17,32,30,19,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,649,00000000000000101000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,1,16,9,32
4,32,20,10,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,712,00000000000000000000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,1,16,9,32
5,32,30,19,1,0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,712,00000000000000000000000000110000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,1,16,9,32
