NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
2,32,21,11,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,807,00000000000000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
2,64,22,11,1,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,807,00000000000000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
18,32,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,815,00000000000001000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
3,32,32,21,1,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,815,00000000000001000000000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
23,32,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,823,00000000100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
28,32,32,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0,823,00010000100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
24,32,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,831,00000001000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
1,32,32,21,1,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,831,00000001000000000000000000000010,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
24,64,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0,839,00000001000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
28,64,41,31,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:0:0:0:2:0:0:0,839,00010001100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
30,32,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,846,01000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
25,32,32,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0,846,01000010000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
28,64,41,31,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:0:0:0:3:0:0:0,854,00010001100000000000000000000000,0000000000000000000000000000000000000000000000000011110000001111,0,800,800,1,16,10,32
30,64,51,41,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:0:0:0:3:0:2:0,854,01010001100000000000000000000000,0000000000000000000000000000000000000000000000000000000000001000,0,800,800,1,16,10,32
22,32,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,862,00000000010000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
11,32,32,21,1,0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,862,00000000010000000000100000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
17,32,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,870,00000000000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
14,32,32,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,870,00000000000000100100000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
14,64,31,21,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,878,00000000000000100100000000000000,0000000000000000000000000000000000000000000000000010000000000000,0,800,800,1,16,10,32
26,64,41,31,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0,878,00000100000000100100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
13,32,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,885,00000000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
9,32,32,21,1,0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,885,00000000000000000010001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
6,32,21,11,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,893,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
10,32,32,21,1,0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,893,00000000000000000000010001000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
17,64,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0,901,00000000000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
2,64,31,21,0,0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0,901,00000000000000100000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
4,32,21,11,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,909,00000000000000000000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
9,64,41,31,0,0:0:0:0:1:0:0:0:0:2:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,909,00000000000000000010001000010000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
22,64,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0,917,00000000010000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
31,64,32,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:1,917,10000000010000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
17,64,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0,924,00000000000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
3,64,41,31,0,0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:3:1:0:0:0:0:0:0:0:0:0:0:0:0:0,924,00000000000001100000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
4,64,21,11,0,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,932,00000000000000000000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
27,64,32,21,1,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,932,00001000000000000000000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
24,64,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0:0,940,00000001000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
28,96,41,31,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:3:0:0:0:4:0:0:0,940,00010001100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
6,64,21,11,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,948,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
21,64,32,21,1,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,948,00000000001000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,1,16,10,32
8,32,21,11,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,956,00000000000000000000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
6,64,31,21,0,0:0:0:0:0:0:3:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,956,00000000000000000000000101000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,1,16,10,32
