NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
14,16,21,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,924,0100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,256,1,10,16
2,16,32,21,1,0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0,924,0100000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,256,1,10,16
12,16,22,11,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,1049,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,256,1,10,16
3,16,33,21,1,0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0,1049,0001000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,256,1,10,16
2,32,32,21,0,0:0:2:0:0:0:0:0:0:0:0:0:0:0:1:0,1174,0100000000000100,0000000000000000000000000000000000000000000000111110100000000000,0,800,800,256,1,10,16
4,32,42,31,0,0:0:2:0:1:0:0:0:0:0:0:0:0:0:1:0,1174,0100000000010100,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,256,1,10,16
15,16,22,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,1299,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,256,1,10,16
9,16,33,21,1,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1,1299,1000001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,256,1,10,16
10,16,22,11,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,1424,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,800,256,1,10,16
8,16,33,21,1,0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0,1424,0000010100000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,800,256,1,10,16
