NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
10,16,18,9,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,262,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
4,16,27,17,1,0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0,262,0000010000010000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,16,16,8,16
5,16,18,9,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,324,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
6,16,27,17,1,0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0,324,0000000001100000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,16,16,8,16
6,32,26,17,0,0:0:0:0:0:1:2:0:0:0:0:0:0:0:0:0,387,0000000001100000,0000000000000000000000000000000000000000000000000000000000111111,0,200,100,16,16,8,16
2,32,34,25,0,0:0:1:0:0:1:2:0:0:0:0:0:0:0:0:0,387,0000000001100100,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
5,32,18,9,0,0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0,449,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
6,32,26,17,0,0:0:0:0:0:2:3:0:0:0:0:0:0:0:0:0,449,0000000001100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
2,32,35,25,0,0:0:2:0:0:1:2:0:0:0:0:0:0:0:0:0,512,0000000001100100,0000000000000000000000000000000000000000011111010111110100000000,0,200,100,16,16,8,16
7,32,43,33,0,0:0:2:0:0:1:2:1:0:0:0:0:0:0:0:0,512,0000000011100100,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
6,48,27,17,0,0:0:0:0:0:2:4:0:0:0:0:0:0:0:0:0,574,0000000001100000,0000000000000000000000000000000000000000000000000000000001111101,0,200,100,16,16,8,16
9,48,35,25,0,0:0:0:0:0:2:4:0:0:1:0:0:0:0:0:0,574,0000001001100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
7,32,43,33,0,0:0:2:0:0:1:2:2:0:0:0:0:0:0:0:0,637,0000000011100100,0000000000000000000000000000000000000000011111010111110101111101,0,200,100,16,16,8,16
7,32,44,33,1,0:0:2:0:0:1:2:3:0:0:0:0:0:0:0:0,637,0000000011100100,0000000000000000000000000000000000000000011111010111110101111101,1,200,100,16,16,8,16
7,48,43,33,0,0:0:2:0:0:1:2:4:0:0:0:0:0:0:0:0,699,0000000011100100,0000000000000000000000000000000000000000101110111011101110111011,0,200,100,16,16,8,16
7,48,44,33,1,0:0:2:0:0:1:2:5:0:0:0:0:0:0:0:0,699,0000000011100100,0000000000000000000000000000000000000000101110111011101110111011,1,200,100,16,16,8,16
12,16,19,9,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,762,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
5,32,28,17,1,0:0:0:0:0:3:0:0:0:0:0:0:1:0:0:0,762,0001000000100000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,16,16,8,16
4,32,19,9,0,0:0:0:0:2:0:0:0:0:0:1:0:0:0:0:0,824,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
14,32,28,17,1,0:0:0:0:2:0:0:0:0:0:1:0:0:0:1:0,824,0100000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,16,16,8,16
15,16,19,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,887,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
14,32,35,25,0,0:0:0:0:2:0:0:0:0:0:1:0:0:0:2:1,887,1100000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,16,16,8,16
