NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
15,16,15,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,115,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
2,16,23,15,1,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1,115,1000000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
4,16,16,8,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,131,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
11,16,24,15,1,0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0,131,0000100000010000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
4,32,16,8,0,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0,146,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
7,32,24,15,1,0:0:0:0:2:0:0:1:0:0:0:0:0:0:0:0,146,0000000010010000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
10,16,16,8,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,162,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
15,32,23,15,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:2,162,1000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
2,32,23,15,0,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:1,178,1000000000000100,0000000000000000000000000000000000000000000000000001111110000000,0,100,400,64,16,7,16
4,32,30,22,0,0:0:2:0:3:0:0:0:0:0:0:0:0:0:0:1,178,1000000000010100,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
9,16,16,8,0,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,193,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
9,32,17,8,1,0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0,193,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
2,32,23,15,0,0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:1,209,1000000000000100,0000000000000000000000000000000000000000000000000010111100000000,0,100,400,64,16,7,16
14,32,30,22,0,0:0:3:0:0:0:0:0:0:0:0:0:0:0:1:1,209,1100000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
13,16,16,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,224,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
3,16,24,15,1,0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0,224,0010000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
5,16,16,8,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,240,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
0,16,24,15,1,1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,240,0000000000100001,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
3,32,24,15,0,0:0:0:2:0:0:0:0:0:0:0:0:0:1:0:0,256,0010000000001000,0000000000000000000000000000000000000000000000000001000000000000,0,100,400,64,16,7,16
8,32,31,22,0,0:0:0:2:0:0:0:0:1:0:0:0:0:1:0:0,256,0010000100001000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
10,32,17,8,0,0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0,271,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
6,32,25,15,1,0:0:0:0:0:0:1:0:0:0:2:0:0:0:0:0,271,0000010001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
0,32,24,15,0,2:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,287,0000000000100001,0000000000000000000000000000000000000000000000000001011110000000,0,100,400,64,16,7,16
5,32,24,15,0,2:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0,287,0000000000100001,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
2,48,17,8,0,0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:1,303,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
11,48,25,15,1,0:0:4:0:1:0:0:0:0:0:0:2:0:0:0:1,303,0000100000000100,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
2,48,17,8,0,0:0:5:0:0:0:0:0:0:0:0:0:0:0:0:1,318,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
0,48,31,22,0,3:0:5:0:0:1:0:0:0:0:0:0:0:0:0:1,318,0000000000100101,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
6,32,24,15,0,0:0:0:0:0:0:2:0:0:0:2:0:0:0:0:0,334,0000010001000000,0000000000000000000000000000000000000000000000000001111110000000,0,100,400,64,16,7,16
15,32,31,22,0,0:0:0:0:0:0:2:0:0:0:2:0:0:0:0:3,334,1000010001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
3,32,17,8,0,0:0:0:3:0:0:0:0:0:0:0:0:0:1:0:0,349,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
3,48,18,8,1,0:0:0:4:0:0:0:0:0:0:0:0:0:1:0:0,349,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
7,32,17,8,0,0:0:0:0:2:0:0:2:0:0:0:0:0:0:0:0,365,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
14,32,25,15,1,0:0:3:0:2:0:0:2:0:0:0:0:0:0:2:1,365,0100000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
15,48,31,22,0,0:0:0:0:0:0:2:0:0:0:2:0:0:0:0:4,381,1000010001000000,0000000000000000000000000000000000000000000000000001011110101111,0,100,400,64,16,7,16
9,48,38,29,0,0:0:0:0:0:0:2:0:0:3:2:0:0:0:0:4,381,1000011001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
1,16,17,8,0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,396,0000000000000010,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
15,48,38,29,0,0:1:0:0:0:0:2:0:0:0:2:0:0:0:0:5,396,1000010001000010,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
15,48,38,29,0,0:1:0:0:0:0:2:0:0:0:2:0:0:0:0:6,412,1000010001000010,0000000000000000000000000000000000000000000001000000100000010000,0,100,400,64,16,7,16
2,48,45,36,0,0:1:6:0:0:0:2:0:0:0:2:0:0:0:0:6,412,1000010001000110,0000000000000000000000000000000000000000000000000000000000010000,0,100,400,64,16,7,16
4,48,17,8,0,0:0:2:0:4:0:0:0:0:0:0:0:0:0:0:1,428,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
9,48,45,36,0,0:0:2:0:4:0:2:0:0:4:2:0:0:0:0:4,428,1000011001010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
11,48,17,8,0,0:0:4:0:1:0:0:0:0:0:0:3:0:0:0:1,443,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
4,48,24,15,0,0:0:4:0:5:0:0:0:0:0:0:3:0:0:0:1,443,0000100000010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
11,48,17,8,0,0:0:4:0:1:0:0:0:0:0:0:4:0:0:0:1,459,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
6,48,25,15,1,0:0:4:0:1:0:3:0:0:0:2:4:0:0:0:1,459,0000100001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
8,32,17,8,0,0:0:0:2:0:0:0:0:2:0:0:0:0:1:0:0,474,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
3,48,25,15,1,0:0:0:5:0:0:0:0:2:0:0:0:0:1:0:0,474,0000000100001000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
2,48,45,36,0,0:1:7:0:0:0:2:0:0:0:2:0:0:0:0:6,490,1000010001000110,0000000000000000000000000000000011101001110100111000000001011110,0,100,400,64,16,7,16
2,64,45,36,0,0:1:8:0:0:0:2:0:0:0:2:0:0:0:0:6,490,1000010001000110,0000000000000000000000000000000000001001110100111000000001011110,0,100,400,64,16,7,16
8,32,17,8,0,0:0:0:2:0:0:0:0:3:0:0:0:0:1:0:0,506,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
9,48,52,43,0,0:0:2:2:4:0:2:0:3:5:2:0:0:1:0:4,506,1000011101010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
15,48,18,8,0,0:1:0:0:0:0:2:0:0:0:2:0:0:0:0:7,521,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
14,48,26,15,1,0:1:3:0:2:0:2:2:0:0:2:0:0:0:3:7,521,1100000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,64,16,7,16
3,48,25,15,0,0:0:0:6:0:0:0:0:2:0:0:0:0:1:0:0,537,0000000100001000,0000000000000000000000000000000000000000000000000001111110000000,0,100,400,64,16,7,16
4,48,39,29,0,0:0:4:6:6:0:0:0:2:0:0:3:0:1:0:1,537,0000100100011000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,64,16,7,16
