NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
9,16,22,11,0,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,1049,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,64,1,10,16
4,16,33,21,1,0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0,1049,0000001000010000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,64,1,10,16
5,16,22,11,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,1299,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,64,1,10,16
13,16,33,21,1,0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0,1299,0010000000100000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,64,1,10,16
14,16,22,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,1549,0100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,64,1,10,16
1,16,33,21,1,0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0,1549,0100000000000010,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,64,1,10,16
