NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
13,16,18,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,262,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
3,16,27,17,1,0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0,262,0010000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,4,16,8,16
15,16,18,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,324,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
10,16,27,17,1,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1,324,1000010000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,4,16,8,16
12,16,18,9,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,387,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
8,16,27,17,1,0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0,387,0001000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,4,16,8,16
7,16,18,9,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,449,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
9,16,27,17,1,0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0,449,0000001010000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,4,16,8,16
2,16,19,9,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,512,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
13,32,28,17,1,0:0:1:0:0:0:0:0:0:0:0:0:0:2:0:0,512,0010000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,4,16,8,16
13,32,27,17,0,0:0:1:0:0:0:0:0:0:0:0:0:0:3:0:0,574,0010000000000100,0000000000000000000000000000000000000000000000000000000000111110,0,200,100,4,16,8,16
7,32,35,25,0,0:0:1:0:0:0:0:2:0:0:0:0:0:3:0:0,574,0010000010000100,0000000000000000000000000000000000000000000000000000000000111110,0,200,100,4,16,8,16
6,16,19,9,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,637,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
8,32,28,17,1,0:0:0:0:0:0:1:0:2:0:0:0:1:0:0:0,637,0000000101000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,4,16,8,16
15,32,19,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2,699,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
11,32,28,17,1,0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:2,699,1000100000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,4,16,8,16
10,32,19,9,0,0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:1,762,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,4,16,8,16
