NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
7,16,19,10,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,462,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
11,16,29,19,1,0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0,462,0000100010000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,4,9,16
7,32,20,10,0,0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0,524,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
3,32,30,19,1,0:0:0:1:0:0:0:2:0:0:0:0:0:0:0:0,524,0000000010001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,4,9,16
15,16,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,587,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
8,16,30,19,1,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1,587,1000000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,4,9,16
10,16,20,10,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,649,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
10,32,21,10,1,0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0,649,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,4,9,16
7,32,20,10,0,0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:0,712,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
10,32,29,19,0,0:0:0:0:0:0:0:3:0:0:3:0:0:0:0:0,712,0000010010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
6,16,20,10,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,774,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
1,16,30,19,1,0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0,774,0000000001000010,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,4,9,16
15,32,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2,837,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
6,32,29,19,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:2,837,1000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
5,16,20,10,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,899,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
3,32,38,28,0,0:0:0:2:0:1:0:2:0:0:0:0:0:0:0:0,899,0000000010101000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
11,32,20,10,0,0:0:0:0:0:0:0:1:0:0:0:2:0:0:0:0,962,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
2,32,30,19,1,0:0:1:0:0:0:0:1:0:0:0:2:0:0:0:0,962,0000100000000100,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,4,9,16
3,32,39,28,0,0:0:0:3:0:1:0:2:0:0:0:0:0:0:0:0,1024,0000000010101000,0000000000000000000000000000000000000001111101001111101000000000,0,400,400,64,4,9,16
11,32,48,37,0,0:0:0:3:0:1:0:2:0:0:0:3:0:0:0:0,1024,0000100010101000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,4,9,16
