NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
13,16,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,431,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
3,16,29,19,1,0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0,431,0010000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,4,9,16
14,16,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,462,0100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
7,16,29,19,1,0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0,462,0100000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,4,9,16
7,32,28,19,0,0:0:0:0:0:0:0:2:0:0:0:0:0:0:1:0,493,0100000010000000,0000000000000000000000000000000000000000000000000011111000000000,0,400,800,256,4,9,16
11,32,37,28,0,0:0:0:0:0:0:0:2:0:0:0:1:0:0:1:0,493,0100100010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
10,16,20,10,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,524,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
0,16,30,19,1,1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,524,0000010000000001,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,4,9,16
3,32,29,19,0,0:0:0:2:0:0:0:0:0:0:0:0:0:1:0:0,556,0010000000001000,0000000000000000000000000000000000000000000000001111101000000000,0,400,800,256,4,9,16
14,32,38,28,0,0:0:0:2:0:0:0:0:0:0:0:0:0:1:2:0,556,0110000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
8,16,20,10,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,587,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
0,32,38,28,0,2:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0,587,0000010100000001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
13,32,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0,618,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
9,32,30,19,1,0:0:0:0:0:0:0:0:0:1:0:0:0:2:0:0,618,0010001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,256,4,9,16
0,32,38,28,0,3:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0,649,0000010100000001,0000000000000000000000000000000000000000111110000111110000000000,0,400,800,256,4,9,16
8,32,38,28,0,3:0:0:0:0:0:0:0:2:0:1:0:0:0:0:0,649,0000010100000001,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,256,4,9,16
9,32,29,19,0,0:0:0:0:0:0:0:0:0:2:0:0:0:2:0:0,681,0010001000000000,0000000000000000000000000000000000000000000000000111111000000000,0,400,800,256,4,9,16
9,32,30,19,1,0:0:0:0:0:0:0:0:0:3:0:0:0:2:0:0,681,0010001000000000,0000000000000000000000000000000000000000000000000111111000000000,1,400,800,256,4,9,16
