NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
11,16,16,8,0,0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,162,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
3,16,24,15,1,0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0,162,0000100000001000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
7,16,16,8,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,224,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
11,32,23,15,0,0:0:0:0:0:0:0:1:0:0:0:2:0:0:0:0,224,0000100010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
0,16,17,8,0,1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,287,0000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
6,16,25,15,1,1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,287,0000000001000001,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
0,32,17,8,0,2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,349,0000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
11,32,25,15,1,2:0:0:0:0:0:0:1:0:0:0:3:0:0:0:0,349,0000100000000001,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
11,48,24,15,0,2:0:0:0:0:0:0:1:0:0:0:4:0:0:0:0,412,0000100000000001,0000000000000000000000000000000000000000000000000000000000111111,0,100,100,1,16,7,16
6,48,31,22,0,2:0:0:0:0:0:2:1:0:0:0:4:0:0:0:0,412,0000100001000001,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
7,32,17,8,0,0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0,474,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
0,32,25,15,1,3:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0,474,0000000010000001,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
11,48,18,8,0,2:0:0:0:0:0:0:1:0:0:0:5:0:0:0:0,537,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
8,48,26,15,1,2:0:0:0:0:0:0:1:1:0:0:5:0:0:0:0,537,0000100100000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
13,16,18,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,599,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
13,32,19,8,1,0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0,599,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
2,16,18,8,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,662,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
13,32,25,15,0,0:0:1:0:0:0:0:0:0:0:0:0:0:3:0:0,662,0010000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
9,16,18,8,0,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,724,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
14,16,26,15,1,0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0,724,0100001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
10,16,18,8,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,787,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
3,32,26,15,1,0:0:0:2:0:0:0:0:0:0:1:1:0:0:0:0,787,0000010000001000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
15,16,18,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,849,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
2,32,26,15,1,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:1,849,1000000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
9,32,18,8,0,0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0,912,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
11,48,26,15,1,2:0:0:0:0:0:0:1:0:2:0:6:0:0:0:0,912,0000101000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
8,48,18,8,0,2:0:0:0:0:0:0:1:2:0:0:5:0:0:0:0,974,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
1,48,26,15,1,2:1:0:0:0:0:0:1:2:0:0:5:0:0:0:0,974,0000000100000010,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
4,16,19,8,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,1037,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,16,7,16
11,48,27,15,1,2:0:0:0:1:0:0:1:0:2:0:7:0:0:0:0,1037,0000100000010000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,16,7,16
