NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
13,16,22,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,1799,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,100,4,1,10,16
3,16,33,21,1,0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0,1799,0010000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,800,100,4,1,10,16
13,32,23,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0,2799,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,100,4,1,10,16
7,32,34,21,1,0:0:0:0:0:0:0:1:0:0:0:0:0:2:0:0,2799,0010000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,100,4,1,10,16
2,16,23,11,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,3799,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,800,100,4,1,10,16
7,32,34,21,1,0:0:1:0:0:0:0:2:0:0:0:0:0:2:0:0,3799,0000000010000100,0000000000000000000000000000000000000000000000000000000000000000,1,800,100,4,1,10,16
12,16,24,11,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,4799,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,100,4,1,10,16
11,16,35,21,1,0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0,4799,0001100000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,100,4,1,10,16
4,16,24,11,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,5799,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,800,100,4,1,10,16
14,16,35,21,1,0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0,5799,0100000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,800,100,4,1,10,16
4,32,24,11,0,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0,6799,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,800,100,4,1,10,16
6,32,35,21,1,0:0:0:0:2:0:1:0:0:0:0:0:0:0:0:0,6799,0000000001010000,0000000000000000000000000000000000000000000000000000000000000000,1,800,100,4,1,10,16
2,32,24,11,0,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,7799,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,800,100,4,1,10,16
