NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
7,32,15,8,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,107,00000000000000000000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,1,16,7,32
27,32,23,15,1,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,107,00001000000000000000000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,1,16,7,32
6,32,15,8,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,115,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,1,16,7,32
2,32,23,15,1,0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,115,00000000000000000000000001000100,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,1,16,7,32
6,64,15,8,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,123,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,1,16,7,32
30,64,23,15,1,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,123,01000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,1,16,7,32
20,32,16,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,131,00000000000100000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,1,16,7,32
26,32,24,15,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0,131,00000100000100000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,1,16,7,32
25,32,16,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,139,00000010000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,1,16,7,32
21,32,24,15,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0,139,00000010001000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,1,16,7,32
6,64,16,8,0,0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,146,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,1,16,7,32
