NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
6,32,19,10,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,407,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,16,16,9,32
27,32,29,19,1,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,407,00001000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,16,16,9,32
28,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,415,00010000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,16,16,9,32
8,32,29,19,1,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,415,00010000000000000000000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,16,16,9,32
15,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,423,00000000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,16,16,9,32
26,32,29,19,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,423,00000100000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,16,16,9,32
3,32,19,10,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,431,00000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,16,16,9,32
13,32,29,19,1,0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,431,00000000000000000010000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,16,16,9,32
8,64,28,19,0,0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,439,00010000000000000000000100000000,0000000000000000000000000000000000000000000000000011000000000000,0,400,800,16,16,9,32
11,64,37,28,0,0:0:0:0:0:0:0:0:2:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,439,00010000000000000000100100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,16,16,9,32
9,32,19,10,0,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,446,00000000000000000000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,16,16,9,32
10,32,29,19,1,0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,446,00000000000000000000011000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,16,16,9,32
16,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,454,00000000000000010000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,800,16,16,9,32
31,32,29,19,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,454,10000000000000010000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,800,16,16,9,32
8,64,28,19,0,0:0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,462,00010000000000000000000100000000,0000000000000000000000000000000000000000000000000101111000000000,0,400,800,16,16,9,32
10,64,46,37,0,0:0:0:0:0:0:0:0:3:1:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,462,00010000000000000000011100000000,0000000000000000000000000000000000000000000000000010000000000000,0,400,800,16,16,9,32
