NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
6,16,20,10,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,524,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
9,16,30,19,1,0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0,524,0000001001000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
7,16,20,10,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,649,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
12,16,30,19,1,0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0,649,0001000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
2,16,20,10,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,774,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
13,16,30,19,1,0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0,774,0010000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
13,32,29,19,0,0:0:1:0:0:0:0:0:0:0:0:0:0:2:0:0,899,0010000000000100,0000000000000000000000000000000000000000000000000000000001111101,0,400,200,4,4,9,16
11,32,38,28,0,0:0:1:0:0:0:0:0:0:0:0:1:0:2:0:0,899,0010100000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
15,16,21,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,1024,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
9,32,31,19,1,0:0:0:0:0:0:1:0:0:2:0:0:0:0:0:1,1024,1000001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
4,16,21,10,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,1149,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
8,16,31,19,1,0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0,1149,0000000100010000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
9,32,30,19,0,0:0:0:0:0:0:1:0:0:3:0:0:0:0:0:1,1274,1000001000000000,0000000000000000000000000000000000000000000000011111010000000000,0,400,200,4,4,9,16
3,32,39,28,0,0:0:0:1:0:0:1:0:0:3:0:0:0:0:0:1,1274,1000001000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
7,32,21,10,0,0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0,1399,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
1,32,31,19,1,0:1:0:0:0:0:0:2:0:0:0:0:0:0:0:0,1399,0000000010000010,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
2,32,21,10,0,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,1524,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
1,32,39,28,0,0:2:2:0:0:0:0:2:0:0:0:0:0:0:0:0,1524,0000000010000110,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
8,32,21,10,0,0:0:0:0:1:0:0:0:2:0:0:0:0:0:0:0,1649,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
13,32,31,19,1,0:0:1:0:1:0:0:0:2:0:0:0:0:3:0:0,1649,0010000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
11,32,21,10,0,0:0:1:0:0:0:0:0:0:0:0:2:0:2:0:0,1774,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
15,32,31,19,1,0:0:1:0:0:0:0:0:0:0:0:2:0:2:0:2,1774,1000100000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
6,32,21,10,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0,1899,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
7,32,31,19,1,0:0:0:0:0:0:2:3:0:0:0:0:0:0:0:0,1899,0000000011000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
3,32,21,10,0,0:0:0:2:0:0:1:0:0:3:0:0:0:0:0:1,2024,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
5,32,31,19,1,0:0:0:2:0:1:1:0:0:3:0:0:0:0:0:1,2024,0000000000101000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
12,32,22,10,0,0:0:0:0:0:0:0:1:0:0:0:0:2:0:0:0,2149,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
9,48,32,19,1,0:0:0:0:0:0:1:1:0:4:0:0:2:0:0:1,2149,0001001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
11,32,22,10,0,0:0:1:0:0:0:0:0:0:0:0:3:0:2:0:0,2274,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
8,32,32,19,1,0:0:1:0:1:0:0:0:3:0:0:3:0:2:0:0,2274,0000100100000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
2,32,22,10,0,0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,2399,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
2,48,23,10,1,0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:0,2399,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
13,48,22,10,0,0:0:1:0:1:0:0:0:2:0:0:0:0:4:0:0,2524,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
10,48,32,19,1,0:0:1:0:1:0:0:0:2:0:1:0:0:4:0:0,2524,0010010000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
15,32,22,10,0,0:0:1:0:0:0:0:0:0:0:0:2:0:2:0:3,2649,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
4,32,32,19,1,0:0:1:0:2:0:0:0:0:0:0:2:0:2:0:3,2649,1000000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
15,48,22,10,0,0:0:1:0:0:0:0:0:0:0:0:2:0:2:0:4,2774,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
10,48,40,28,0,0:0:1:0:1:0:0:0:2:0:2:2:0:4:0:4,2774,1010010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
8,48,22,10,0,0:0:1:0:1:0:0:0:4:0:0:3:0:2:0:0,2899,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
3,48,32,19,1,0:0:1:3:1:0:1:0:4:3:0:3:0:2:0:1,2899,0000000100001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
15,48,22,10,0,0:0:1:0:0:0:0:0:0:0:0:2:0:2:0:5,3024,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,4,9,16
1,48,32,19,1,0:3:2:0:0:0:0:2:0:0:0:2:0:2:0:5,3024,1000000000000010,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,4,9,16
1,48,31,19,0,0:4:2:0:0:0:0:2:0:0:0:2:0:2:0:5,3149,1000000000000010,0000000000000000000000000000000000000000000000001111101000000000,0,400,200,4,4,9,16
