NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
6,16,19,8,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,1099,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
1,16,27,15,1,0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0,1099,0000000001000010,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
7,16,20,8,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,2099,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
9,16,28,15,1,0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0,2099,0000001010000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
15,16,20,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,3099,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
7,32,28,15,1,0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:1,3099,1000000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
5,16,21,8,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,4099,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
12,16,29,15,1,0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0,4099,0001000000100000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
8,16,21,8,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,5099,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
10,16,29,15,1,0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0,5099,0000010100000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
4,16,21,8,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,6099,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
3,16,29,15,1,0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0,6099,0000000000011000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
7,32,21,8,0,0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:1,7099,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
8,32,29,15,1,0:0:0:0:0:0:0:3:2:0:0:0:0:0:0:1,7099,0000000110000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
10,32,21,8,0,0:0:0:0:0:0:0:0:1:0:2:0:0:0:0:0,8099,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
14,32,29,15,1,0:0:0:0:0:0:0:0:1:0:2:0:0:0:1:0,8099,0100010000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
5,32,22,8,0,0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0,9099,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
0,32,30,15,1,1:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0,9099,0000000000100001,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
14,32,22,8,0,0:0:0:0:0:0:0:0:1:0:2:0:0:0:2:0,10099,0100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
6,32,30,15,1,0:0:0:0:0:0:2:0:1:0:2:0:0:0:2:0,10099,0100000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
0,32,22,8,0,2:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0,11099,0000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
11,32,30,15,1,2:0:0:0:0:2:0:0:0:0:0:1:0:0:0:0,11099,0000100000000001,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
15,32,22,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2,12099,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
10,32,30,15,1,0:0:0:0:0:0:0:0:1:0:3:0:0:0:0:2,12099,1000010000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
3,32,22,8,0,0:0:0:2:1:0:0:0:0:0:0:0:0:0:0:0,13099,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
5,32,30,15,1,0:0:0:2:1:3:0:0:0:0:0:0:0:0:0:0,13099,0000000000101000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
4,32,22,8,0,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0,14099,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
2,32,30,15,1,0:0:1:0:2:0:0:0:0:0:0:0:0:0:0:0,14099,0000000000010100,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
7,48,22,8,0,0:0:0:0:0:0:0:4:0:0:0:0:0:0:0:1,15099,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
15,48,30,15,1,0:0:0:0:0:0:0:4:0:0:0:0:0:0:0:3,15099,1000000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
6,32,22,8,0,0:0:0:0:0:0:3:0:1:0:2:0:0:0:2:0,16099,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
3,32,30,15,1,0:0:0:3:1:0:3:0:1:0:2:0:0:0:2:0,16099,0000000001001000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
15,48,23,8,0,0:0:0:0:0:0:0:4:0:0:0:0:0:0:0:4,17099,1000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
8,48,31,15,1,0:0:0:0:0:0:0:4:3:0:0:0:0:0:0:4,17099,1000000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
14,32,23,8,0,0:0:0:0:0:0:0:0:1:0:2:0:0:0:3:0,18099,0100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
8,48,31,15,1,0:0:0:0:0:0:0:4:4:0:2:0:0:0:3:4,18099,0100000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
8,48,23,8,0,0:0:0:0:0:0:0:4:5:0:2:0:0:0:3:4,19099,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
4,48,31,15,1,0:0:0:0:3:0:0:4:5:0:2:0:0:0:3:4,19099,0000000100010000,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
1,32,23,8,0,0:2:0:0:0:0:1:0:0:0:0:0:0:0:0:0,20099,0000000000000010,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
11,32,31,15,1,2:2:0:0:0:2:1:0:0:0:0:2:0:0:0:0,20099,0000100000000010,0000000000000000000000000000000000000000000000000000000000000000,1,100,100,1,1,7,16
12,32,23,8,0,0:0:0:0:0:1:0:0:0:0:0:0:2:0:0:0,21099,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,100,1,1,7,16
