NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
17,32,22,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1049,00000000000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
7,32,33,21,1,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1049,00000000000000100000000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
3,32,22,11,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1299,00000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
5,32,33,21,1,0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1299,00000000000000000000000000101000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
2,32,22,11,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1549,00000000000000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
21,32,33,21,1,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,1549,00000000001000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
18,32,22,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,1799,00000000000001000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
23,32,33,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0,1799,00000000100001000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
25,32,23,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,2049,00000010000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
17,64,34,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:1:0:0:0:0:0:0,2049,00000010000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
30,32,23,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,2299,01000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
26,32,34,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0,2299,01000100000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
3,64,23,11,0,0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2549,00000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
8,64,34,21,1,0:0:0:2:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2549,00000000000000000000000100001000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
16,32,23,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2799,00000000000000010000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
20,32,34,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,2799,00000000000100010000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
6,32,23,11,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3049,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
24,32,34,21,1,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,3049,00000001000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
10,32,23,11,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3299,00000000000000000000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
2,64,34,21,1,0:0:2:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3299,00000000000000000000010000000100,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
6,64,23,11,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3549,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
23,64,34,21,1,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:2:0:0:0:0:0:0:0:0,3549,00000000100000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
5,64,23,11,0,0:0:0:1:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3799,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
10,64,33,21,0,0:0:0:1:0:2:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3799,00000000000000000000010000100000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
15,32,23,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,4049,00000000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
28,32,34,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,4049,00010000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
6,64,24,11,0,0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,4299,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
3,64,35,21,1,0:0:0:3:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,4299,00000000000000000000000001001000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
17,64,24,11,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:1:0:0:0:0:0:0,4549,00000000000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,800,400,16,1,10,32
30,64,35,21,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:1:0:0:0:0:2:0,4549,01000000000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,800,400,16,1,10,32
