NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
19,32,16,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,131,00000000000010000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,4,7,32
27,32,24,15,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0,131,00001000000010000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,4,7,32
6,32,16,8,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,162,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,4,7,32
15,32,24,15,1,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,162,00000000000000001000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,4,7,32
22,32,16,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,193,00000000010000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,4,7,32
20,32,24,15,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0,193,00000000010100000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,4,7,32
8,32,16,8,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,224,00000000000000000000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,4,7,32
20,64,30,22,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:2:0:1:0:0:0:0:0:0:0:0:0,224,00000000010100000000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,4,7,32
8,64,17,8,0,0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,256,00000000000000000000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,4,7,32
24,64,25,15,1,0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,256,00000001000000000000000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,4,7,32
