NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
21,32,17,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,349,00000000001000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
14,32,25,15,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,349,00000000001000000100000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
30,32,18,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,599,01000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
31,32,26,15,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1,599,11000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
6,32,18,8,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,849,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
24,32,26,15,1,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,849,00000001000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
24,64,19,8,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0,1099,00000001000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
6,64,27,15,1,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0,1099,00000001000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
6,64,19,8,0,0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0,1349,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
17,64,27,15,1,0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:2:0:0:0:0:0:0:0,1349,00000000000000100000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
19,32,19,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,1599,00000000000010000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
6,96,27,15,1,0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:2:0:0:0:0:0:0:0,1599,00000000000010000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
29,32,19,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,1849,00100000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
11,32,27,15,1,0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,1849,00100000000000000000100000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
7,32,20,8,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2099,00000000000000000000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
25,32,28,15,1,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,2099,00000010000000000000000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
13,32,20,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2349,00000000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
30,64,28,15,1,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0,2349,01000000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
27,32,20,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,2599,00001000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
0,32,28,15,1,1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,2599,00001000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,1,100,400,16,1,7,32
22,32,20,8,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,2849,00000000010000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,400,16,1,7,32
