NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
31,32,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,899,10000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,1,9,32
31,64,29,19,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2,899,10000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,1,9,32
2,32,21,10,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1399,00000000000000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,1,9,32
13,32,31,19,1,0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1399,00000000000000000010000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,1,9,32
12,32,21,10,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1899,00000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,1,9,32
12,64,22,10,1,0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1899,00000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,1,9,32
23,32,22,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,2399,00000000100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,1,9,32
9,32,32,19,1,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,2399,00000000100000000000001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,1,9,32
2,64,22,10,0,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2899,00000000000000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,1,9,32
10,64,32,19,1,0:0:2:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2899,00000000000000000000010000000100,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,4,1,9,32
26,32,22,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,3399,00000100000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,4,1,9,32
