NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
2,16,18,9,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,449,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
2,32,19,9,1,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,449,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
9,16,19,9,0,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,699,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
10,16,28,17,1,0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0,699,0000011000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
4,16,19,9,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0,949,0000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
5,16,28,17,1,0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0,949,0000000000110000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
7,16,20,9,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,1199,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
13,16,29,17,1,0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0,1199,0010000010000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
13,32,20,9,0,0:0:0:0:0:0:0:1:0:0:0:0:0:2:0:0,1449,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
4,32,29,17,1,0:0:0:0:2:0:0:1:0:0:0:0:0:2:0:0,1449,0010000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
13,32,20,9,0,0:0:0:0:0:0:0:1:0:0:0:0:0:3:0:0,1699,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
5,32,29,17,1,0:0:0:0:1:2:0:1:0:0:0:0:0:3:0:0,1699,0010000000100000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
5,32,20,9,0,0:0:0:0:1:3:0:1:0:0:0:0:0:3:0:0,1949,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
8,32,29,17,1,0:0:0:0:1:3:0:1:1:0:0:0:0:3:0:0,1949,0000000100100000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
3,16,21,9,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,2199,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
4,32,30,17,1,0:0:0:1:3:0:0:1:0:0:0:0:0:2:0:0,2199,0000000000011000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
10,32,21,9,0,0:0:0:0:0:0:0:0:0:1:2:0:0:0:0:0,2449,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
11,32,30,17,1,0:0:0:0:0:0:0:0:0:1:2:1:0:0:0:0,2449,0000110000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
6,16,21,9,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,2699,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
6,32,22,9,1,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0,2699,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
12,16,21,9,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,2949,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
2,32,30,17,1,0:0:3:0:0:0:0:0:0:0:0:0:1:0:0:0,2949,0001000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
10,32,21,9,0,0:0:0:0:0:0:0:0:0:1:3:0:0:0:0:0,3199,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
2,48,30,17,1,0:0:4:0:0:0:0:0:0:1:3:0:1:0:0:0,3199,0000010000000100,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
1,16,21,9,0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3449,0000000000000010,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
15,16,30,17,1,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1,3449,1000000000000010,0000000000000000000000000000000000000000000000000000000000000000,1,200,100,64,4,8,16
8,32,21,9,0,0:0:0:0:1:3:0:1:2:0:0:0:0:3:0:0,3699,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,100,64,4,8,16
