NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
3,16,20,10,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,899,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
8,16,30,19,1,0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0,899,0000000100001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
7,16,21,10,0,0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,1399,0000000010000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
3,32,31,19,1,0:0:0:2:0:0:0:1:0:0:0:0:0:0:0:0,1399,0000000010001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
1,16,21,10,0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1899,0000000000000010,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
3,32,31,19,1,0:1:0:3:0:0:0:1:0:0:0:0:0:0:0:0,1899,0000000000001010,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
3,48,22,10,0,0:1:0:4:0:0:0:1:0:0:0:0:0:0:0:0,2399,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
10,48,32,19,1,0:1:0:4:0:0:0:1:0:0:1:0:0:0:0:0,2399,0000010000001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
12,16,22,10,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,2899,0001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
1,32,32,19,1,0:2:0:0:0:0:0:0:0:0:0:0:1:0:0:0,2899,0001000000000010,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
8,32,22,10,0,0:0:0:1:0:0:0:0:2:0:0:0:0:0:0:0,3399,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
2,32,32,19,1,0:0:1:1:0:0:0:0:2:0:0:0:0:0:0:0,3399,0000000100000100,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
6,16,22,10,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,3899,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
8,32,32,19,1,0:0:0:1:0:0:1:0:3:0:0:0:0:0:0:0,3899,0000000101000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
5,16,23,10,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0,4399,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
7,32,33,19,1,0:0:0:0:0:1:0:2:0:0:0:0:0:0:0:0,4399,0000000010100000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
6,32,23,10,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0,4899,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
14,32,33,19,1,0:0:0:0:0:0:2:0:0:0:0:0:0:0:1:0,4899,0100000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
8,48,23,10,0,0:0:0:1:0:0:1:0:4:0:0:0:0:0:0:0,5399,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
5,48,33,19,1,0:0:0:1:0:2:1:0:4:0:0:0:0:0:0:0,5399,0000000100100000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
8,48,23,10,0,0:0:0:1:0:0:1:0:5:0:0:0:0:0:0:0,5899,0000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
13,48,33,19,1,0:0:0:1:0:0:1:0:5:0:0:0:0:1:0:0,5899,0010000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
5,48,23,10,0,0:0:0:1:0:3:1:0:4:0:0:0:0:0:0:0,6399,0000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
0,48,33,19,1,1:0:0:1:0:3:1:0:4:0:0:0:0:0:0:0,6399,0000000000100001,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
0,48,23,10,0,2:0:0:1:0:3:1:0:4:0:0:0:0:0:0:0,6899,0000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0,400,200,64,1,9,16
6,48,33,19,1,2:0:0:1:0:3:3:0:4:0:0:0:0:0:0:0,6899,0000000001000001,0000000000000000000000000000000000000000000000000000000000000000,1,400,200,64,1,9,16
