NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
14,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,415,00000000000000000100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
3,32,29,19,1,0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,415,00000000000000000100000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,16,16,9,32
5,32,19,10,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,431,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
11,32,29,19,1,0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,431,00000000000000000000100000100000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,16,16,9,32
12,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,446,00000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
14,64,28,19,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,446,00000000000000000101000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
15,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,462,00000000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
13,32,29,19,1,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,462,00000000000000001010000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,16,16,9,32
30,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0,478,01000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
29,32,29,19,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0,478,01100000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,16,16,9,32
14,64,28,19,0,0:0:0:0:0:0:0:0:0:0:0:0:1:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,493,00000000000000000101000000000000,0000000000000000000000000000000000000000000000000000000000101111,0,400,400,16,16,9,32
4,64,37,28,0,0:0:0:0:1:0:0:0:0:0:0:0:1:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,493,00000000000000000101000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
19,32,19,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,509,00000000000010000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
3,64,37,28,0,0:0:0:2:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,509,00000000000010000100000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
25,32,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0,524,00000010000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
19,64,29,19,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:1:0:0:0:0:0:0,524,00000010000010000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
15,64,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,540,00000000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
19,64,38,28,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:3:0:0:0:0:0:1:0:0:0:0:0:0,540,00000010000010001000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
2,32,20,10,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,556,00000000000000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
13,64,38,28,0,0:0:1:0:0:0:0:0:0:0:0:0:0:2:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,556,00000000000000001010000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
26,32,20,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,571,00000100000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
13,64,47,37,0,0:0:1:0:0:0:0:0:0:0:0:0:0:3:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,571,00000100000000001010000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
2,64,20,10,0,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,587,00000000000000000000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,16,16,9,32
