NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
3,16,20,10,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0,649,0000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,1,9,16
13,16,30,19,1,0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0,649,0010000000001000,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,1,9,16
6,16,20,10,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,899,0000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,400,64,1,9,16
1,16,30,19,1,0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0,899,0000000001000010,0000000000000000000000000000000000000000000000000000000000000000,1,400,400,64,1,9,16
