NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
23,32,17,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,231,00000000100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,800,64,4,8,32
16,32,26,17,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,231,00000000100000010000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,800,64,4,8,32
28,32,18,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,262,00010000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,800,64,4,8,32
13,32,27,17,1,0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,262,00010000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,800,64,4,8,32
23,64,18,9,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0,293,00000000100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,800,64,4,8,32
18,64,27,17,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:2:0:0:0:0:0:0:0:0,293,00000000100001000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,800,64,4,8,32
13,64,26,17,0,0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0,324,00010000000000000010000000000000,0000000000000000000000000000000000000000000000000011111000000000,0,200,800,64,4,8,32
31,64,34,25,0,0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1,324,10010000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,800,64,4,8,32
5,32,18,9,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,356,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,800,64,4,8,32
8,32,27,17,1,0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,356,00000000000000000000000100100000,0000000000000000000000000000000000000000000000000000000000000000,1,200,800,64,4,8,32
6,32,18,9,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,387,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,800,64,4,8,32
9,32,27,17,1,0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,387,00000000000000000000001001000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,800,64,4,8,32
